"","individual_id","dates","default"
"1",1,2013-01-01,0
"2",1,2013-02-01,0
"3",1,2013-03-01,0
"4",1,2013-04-01,0
"5",1,2013-05-01,0
"6",1,2013-06-01,0
"7",1,2013-07-01,0
"8",1,2013-08-01,0
"9",1,2013-09-01,0
"10",1,2013-10-01,0
"11",1,2013-11-01,0
"12",1,2013-12-01,0
"13",1,2014-01-01,0
"14",1,2014-02-01,0
"15",1,2014-03-01,0
"16",1,2014-04-01,0
"17",1,2014-05-01,0
"18",1,2014-06-01,0
"19",1,2014-07-01,0
"20",1,2014-08-01,0
"21",1,2014-09-01,0
"22",1,2014-10-01,0
"23",1,2014-11-01,0
"24",1,2014-12-01,0
"25",1,2015-01-01,0
"26",1,2015-02-01,0
"27",1,2015-03-01,0
"28",1,2015-04-01,0
"29",1,2015-05-01,0
"30",1,2015-06-01,0
"31",1,2015-07-01,0
"32",1,2015-08-01,0
"33",1,2015-09-01,0
"34",1,2015-10-01,0
"35",1,2015-11-01,0
"36",1,2015-12-01,0
"37",1,2016-01-01,0
"38",1,2016-02-01,0
"39",1,2016-03-01,0
"40",1,2016-04-01,0
"41",1,2016-05-01,1
"42",2,2013-01-01,0
"43",2,2013-02-01,0
"44",2,2013-03-01,0
"45",2,2013-04-01,0
"46",2,2013-05-01,0
"47",2,2013-06-01,0
"48",2,2013-07-01,0
"49",2,2013-08-01,0
"50",2,2013-09-01,0
"51",2,2013-10-01,0
"52",2,2013-11-01,0
"53",2,2013-12-01,0
"54",2,2014-01-01,0
"55",2,2014-02-01,0
"56",2,2014-03-01,0
"57",2,2014-04-01,0
"58",2,2014-05-01,0
"59",2,2014-06-01,0
"60",2,2014-07-01,0
"61",2,2014-08-01,0
"62",2,2014-09-01,0
"63",2,2014-10-01,0
"64",2,2014-11-01,0
"65",2,2014-12-01,0
"66",2,2015-01-01,0
"67",2,2015-02-01,0
"68",2,2015-03-01,0
"69",2,2015-04-01,0
"70",2,2015-05-01,0
"71",2,2015-06-01,0
"72",2,2015-07-01,0
"73",2,2015-08-01,0
"74",2,2015-09-01,0
"75",2,2015-10-01,0
"76",2,2015-11-01,0
"77",2,2015-12-01,0
"78",2,2016-01-01,0
"79",2,2016-02-01,0
"80",2,2016-03-01,0
"81",2,2016-04-01,0
"82",2,2016-05-01,0
"83",2,2016-06-01,0
"84",2,2016-07-01,0
"85",2,2016-08-01,0
"86",2,2016-09-01,0
"87",2,2016-10-01,0
"88",2,2016-11-01,0
"89",2,2016-12-01,0
"90",2,2017-01-01,0
"91",2,2017-02-01,0
"92",2,2017-03-01,0
"93",2,2017-04-01,0
"94",2,2017-05-01,0
"95",2,2017-06-01,0
"96",2,2017-07-01,0
"97",2,2017-08-01,0
"98",2,2017-09-01,0
"99",2,2017-10-01,0
"100",2,2017-11-01,0
"101",3,2013-01-01,0
"102",3,2013-02-01,0
"103",3,2013-03-01,0
"104",3,2013-04-01,0
"105",3,2013-05-01,0
"106",3,2013-06-01,0
"107",3,2013-07-01,0
"108",3,2013-08-01,0
"109",3,2013-09-01,0
"110",3,2013-10-01,0
"111",3,2013-11-01,0
"112",3,2013-12-01,0
"113",3,2014-01-01,0
"114",3,2014-02-01,0
"115",3,2014-03-01,0
"116",3,2014-04-01,0
"117",3,2014-05-01,0
"118",3,2014-06-01,0
"119",3,2014-07-01,0
"120",3,2014-08-01,0
"121",3,2014-09-01,0
"122",3,2014-10-01,0
"123",3,2014-11-01,0
"124",3,2014-12-01,0
"125",3,2015-01-01,0
"126",3,2015-02-01,0
"127",3,2015-03-01,0
"128",3,2015-04-01,0
"129",3,2015-05-01,0
"130",3,2015-06-01,0
"131",3,2015-07-01,0
"132",3,2015-08-01,1
"133",4,2013-01-01,0
"134",4,2013-02-01,0
"135",4,2013-03-01,0
"136",4,2013-04-01,0
